grid_id,green_fraction,water_fraction,building_fraction,road_km_per_km2,district_name
r015_c040,0.9197703793106096,0.656192309199072,0.0,4.132996577081431,崇明区
r016_c036,0.0,0.0256558872032954,0.0,7.636247779493275,崇明区
r016_c038,0.1157658791520699,0.0012961299139329,0.0023058881028441,5.396511039242182,崇明区
r019_c048,0.0,0.0,0.0,5.726522942970379,崇明区
r021_c057,0.0,0.0065437788402119,0.0,3.31831807172919,崇明区
r021_c062,0.7240597049210497,0.0460613686083565,0.0009544640202771,2.2075483080678864,崇明区
r022_c062,0.1390762468387858,0.0343484504939694,0.0080637569392901,6.50520954187833,崇明区
r023_c061,0.0,0.0,0.0011056195178453,4.2080079224528335,崇明区
r024_c064,0.0,0.0,0.0,2.254357971469857,崇明区
r025_c071,0.0,0.0,0.0,1.7790953442305024,崇明区
r027_c054,0.0,0.0,0.1029706460655839,7.228485205113243,崇明区
r027_c056,0.0986429900444589,0.129074894878603,0.0,5.8121906141581645,崇明区
r027_c057,0.0530765477813461,0.0118617832023578,0.0315771575830126,9.319220495931756,崇明区
r029_c066,0.0,0.0227596516790699,0.0,5.805514225461089,崇明区
r032_c078,0.0,0.0459942141633867,0.00035266737331,4.10495931675711,崇明区
r036_c100,0.0944741514089487,0.005378915620901,0.0,2.4473080060367987,崇明区
r037_c098,0.0,0.0281910207323476,0.0,12.63776756956848,崇明区
r038_c109,0.568420210307398,0.1190880063193188,0.0009288294769341,4.345060797325847,崇明区
r038_c110,0.783446003559473,0.4941713375152681,0.0011416482663217,3.8302811293724153,崇明区
r040_c045,0.0,0.0,0.0,8.211501371089984,宝山区
r041_c043,0.0,0.0,0.0,2.771841949005914,嘉定区
r041_c097,0.0,0.1117887916812422,0.0413710916753563,6.443756437246097,崇明区
r043_c094,0.0511511423034011,0.0409496687572471,0.0061785785311613,2.8976129351890143,崇明区
r043_c096,0.0,0.0571846347352957,0.0,8.365857008900004,崇明区
r046_c049,0.2377583835452725,0.0,0.0,2.8132752689403517,宝山区
r047_c048,0.0,0.0,0.0,6.972362044932685,宝山区
r048_c048,0.0,0.0370042706210073,0.0,9.639834360455474,宝山区
r048_c062,0.1275871631702192,0.0,0.0076345939327773,11.353358822502026,宝山区
r048_c063,0.1281285595519842,0.0126142747453673,0.0116221502143083,12.270001392801133,宝山区
r049_c038,0.1277239870812564,0.0606223489763715,0.0,3.587157183574531,嘉定区
r049_c050,0.047043831137384,0.0641114988287879,0.0,6.722977372609538,宝山区
r049_c084,0.6436752480454396,0.0133950808947587,0.0,11.548256936106474,崇明区
r049_c085,0.9898446372819796,0.0618977979871411,0.0,12.777342307587084,崇明区
r049_c086,0.7600662043070184,0.149458257507026,0.0003991178162139,11.419946435223167,崇明区
r050_c062,0.0349601034121469,0.0,0.0751525752921612,12.61166248055988,宝山区
r050_c085,0.1806537283250056,0.0309000282933857,0.0209571168691171,9.6969069760364,崇明区
r051_c038,0.0077639619998755,0.0340149713348046,0.0050450434931491,8.602328614342676,嘉定区
r051_c039,0.0507841899170711,0.0039149415183191,0.0524306460715099,16.797647004547763,嘉定区
r051_c046,0.0,0.0,0.0,4.906875209952521,嘉定区
r051_c066,0.3459739445729101,0.1923049335210216,0.0226749096053118,8.246922837761836,浦东新区
r051_c067,0.961428656766054,0.04518897854022,0.0035844336904032,16.6124395211857,浦东新区
r051_c068,0.4553794175610389,0.0084232733174524,0.0006888420239454,7.953176202432317,浦东新区
r051_c085,0.0897360701564107,0.0343133923017336,0.0433575033817378,18.94144726800808,崇明区
r052_c067,0.2847111055204749,0.0,0.0141738396767346,14.39406504037549,浦东新区
r053_c040,0.0518395476748445,0.0203713922487119,0.0090462054555803,10.759502976120716,嘉定区
r053_c057,0.0230607830842482,0.0,0.0308030107447413,11.657856551531482,宝山区
r054_c051,0.0,0.0,0.0,8.143291615326048,宝山区
r054_c057,0.303202436570839,0.0,0.0082633048002859,12.797544852663629,宝山区
r054_c093,0.0512517410312506,0.0619968487814342,0.0154341977516765,8.510922773834965,崇明区
r055_c051,0.4499140730491604,0.0599943265946571,0.0484639547145507,12.588521874873807,宝山区
r055_c057,0.0479138050326028,0.0849453427565222,0.031101455195919,7.0177882804166725,宝山区
r055_c058,0.0099838537383205,0.0876421417042673,0.0361110806361467,10.048615978196322,宝山区
r055_c059,0.0878739796054406,0.0386454637950271,0.0181564784022001,5.1882930515502,宝山区
r055_c061,0.0559734271965067,0.0,0.0248202233917652,6.477600994918042,宝山区
r055_c063,0.0857264598844236,0.0186216015072415,0.1760633787448291,11.248184268459964,宝山区
r055_c064,0.0038369678013821,0.0261726977742714,0.0742780868270808,13.371397109058304,宝山区
r055_c072,0.0227254851462347,0.0345321853015932,0.0950393544231208,13.067432314472274,浦东新区
r056_c037,0.030075192772555,0.0466542587785755,0.0663737220184195,26.82428067951973,嘉定区
r056_c041,0.0009778721827234,0.0034307713687208,0.0181270666472707,8.338525012836968,嘉定区
r056_c103,0.0,0.0939269279732313,0.0001832956853078,3.2665540664752024,崇明区
r057_c054,0.0308391089170503,0.0684939433022137,0.0300212516415739,8.331005272348774,宝山区
r057_c058,0.0164128691254998,0.0,0.0096595385144052,6.906022166912627,宝山区
r057_c061,0.0,0.030988980741792,0.0248573776989811,7.077046357173089,宝山区
r057_c065,0.114915437423218,0.0618366213090203,0.0447683720955445,30.228088614350963,杨浦区
r057_c069,0.6119436322686229,0.0467140128847146,0.0022521502870251,16.55220932627622,杨浦区
r057_c074,0.4318915789712917,0.0151255189498075,0.0345864544987788,15.602416091888657,浦东新区
r058_c045,0.1072792170739598,0.0995276592205033,0.0,10.02607545915524,嘉定区
r058_c055,0.0242406736199269,0.0,0.0073238218310969,9.285300750615969,宝山区
r058_c060,0.0354842518814547,0.0198680110940001,0.0,10.039212013276762,静安区
r058_c062,0.028182388183361,0.0202688381670647,0.0167906521598783,6.306746074551769,虹口区
r058_c067,0.0520926890949895,0.0039509638815909,0.0837844606062801,16.630455020953253,杨浦区
r058_c070,0.2111298301623333,0.5560990173839236,0.0281319910900037,4.59736474304561,杨浦区
r058_c073,0.0469899421230793,0.0010283197695796,0.0458597270748839,11.286961639937608,浦东新区
r058_c100,0.0,0.0,0.0,5.002226933340573,崇明区
r059_c029,0.0,0.0,0.0167816572037225,6.202757545910446,嘉定区
r059_c031,0.0301775263262648,0.0,0.1555169316751971,3.2109963468906617,嘉定区
r059_c059,0.0391763710889938,0.0198570686573689,0.0561416222239883,18.293173187241127,静安区
r059_c061,0.0056405543322991,0.0125373554075976,0.0298958353269695,14.651771937118625,虹口区
r059_c062,0.0212283190655911,0.0224355422203153,0.0302249294624237,15.91841583592454,虹口区
r059_c064,0.0715404926708087,0.0085043942677404,0.1053878496425312,17.87152919365291,杨浦区
r059_c065,0.0309332496363735,0.0,0.2069843403131454,21.242194711894275,杨浦区
r059_c066,0.0169607475253463,0.003095546119878,0.1424788949921562,22.75686815540277,杨浦区
r060_c030,0.0016719035527769,0.0006332634075286,0.1454627611904107,16.086031790805734,嘉定区
r060_c045,0.0058060849372157,0.0036610531413178,0.0101857417919108,11.157298154086604,嘉定区
r060_c046,0.0808345140175483,0.0092256265993585,0.0489929154020492,13.029957219149397,嘉定区
r060_c058,0.023780417498568,0.0255302077090227,0.1166882266818476,23.04559233569765,静安区
r060_c064,0.0474713657532084,0.0037576452595162,0.203832297595133,15.197266250433726,虹口区
r061_c031,0.2408257862878355,0.0731640280404797,0.1196156910053306,14.59666703993026,嘉定区
